ROUTE,DIRECTION,LATITUDE,LONGITUDE
I 80,Westbound,41.2601427,-110.9743214
I 80,Westbound,41.260107,-110.9742627
I 80,Westbound,41.2599624,-110.974016
I 80,Westbound,41.25989921,-110.9739028
I 80,Westbound,41.2598352,-110.9737882
I 80,Westbound,41.2597087,-110.9735486
I 80,Westbound,41.2595916,-110.9733126
I 80,Westbound,41.2595607,-110.9732477
I 80,Westbound,41.2594574,-110.9730251
I 80,Westbound,41.2593474,-110.972774
I 80,Westbound,41.2592463,-110.9725277
I 80,Westbound,41.2591375,-110.9722451
I 80,Westbound,41.2590414,-110.9719755
I 80,Westbound,41.258954,-110.9717115
I 80,Westbound,41.2588608,-110.9714108
I 80,Westbound,41.2587832,-110.9711418
I 80,Westbound,41.2587111,-110.9708707
I 80,Westbound,41.2586389,-110.9705716
I 80,Westbound,41.2585835,-110.9703191
I 80,Westbound,41.2585225,-110.9700056
I 80,Westbound,41.2584765,-110.9697329
I 80,Westbound,41.2584441,-110.9695161
I 80,Westbound,41.2584289,-110.9694108
I 80,Westbound,41.2583936,-110.969137
I 80,Westbound,41.2583616,-110.9688417
I 80,Westbound,41.2583363,-110.9685563
I 80,Westbound,41.2583154,-110.968239
I 80,Westbound,41.2583025,-110.9679412
I 80,Westbound,41.2582954,-110.9676625
I 80,Westbound,41.2582939,-110.9673842
I 80,Westbound,41.25829499,-110.9672771
I 80,Westbound,41.25829499,-110.9672771
I 80,Westbound,41.2582989,-110.9670497
I 80,Westbound,41.2583093,-110.9667619
I 80,Westbound,41.2583273,-110.9664752
I 80,Westbound,41.258352,-110.9661883
I 80,Westbound,41.2584695,-110.9650099
I 80,Westbound,41.2585575,-110.9641065
I 80,Westbound,41.2586479,-110.9632492
I 80,Westbound,41.2587412,-110.9623245
I 80,Westbound,41.2587709,-110.9620475
I 80,Westbound,41.2588057,-110.9617524
I 80,Westbound,41.25882238,-110.9616251
I 80,Westbound,41.2588469,-110.961438
I 80,Westbound,41.2588895,-110.9611519
I 80,Westbound,41.2589366,-110.9608759
I 80,Westbound,41.2589909,-110.960592
I 80,Westbound,41.259014,-110.9604827
I 80,Westbound,41.259014,-110.9604827
I 80,Westbound,41.2590658,-110.9602465
I 80,Westbound,41.2591238,-110.960003
I 80,Westbound,41.2592034,-110.9596993
I 80,Westbound,41.2592946,-110.9593902
I 80,Westbound,41.2593783,-110.9591275
I 80,Westbound,41.25942401,-110.9589936
I 80,Westbound,41.2594699,-110.9588593
I 80,Westbound,41.2595763,-110.9585697
I 80,Westbound,41.2596787,-110.9583087
I 80,Westbound,41.2597827,-110.9580591
I 80,Westbound,41.2599029,-110.9577886
I 80,Westbound,41.2600221,-110.9575397
I 80,Westbound,41.2601627,-110.9572646
I 80,Westbound,41.2602872,-110.9570331
I 80,Westbound,41.2604206,-110.9567979
