ROUTE,LATITUDE,LONGITUDE
I 80,41.2678652,-110.9412637
I 80,41.2679138,-110.940368
I 80,41.26794955,-110.9393797
I 80,41.26795865,-110.9389637
I 80,41.26796235,-110.938665
I 80,41.2679646,-110.9383898
I 80,41.26796455,-110.9373754
I 80,41.26795035,-110.936569
I 80,41.26791715,-110.9355824
I 80,41.26789075,-110.9350164
I 80,41.2678563,-110.9344319
I 80,41.2677938,-110.9335775
I 80,41.26773625,-110.9329037
I 80,41.2676475,-110.9319871
I 80,41.26697845,-110.9255353
I 80,41.2667659,-110.9236638
I 80,41.26645115,-110.9210878
I 80,41.26636775,-110.920493
I 80,41.266234,-110.9196106
I 80,41.26602585,-110.9183348
I 80,41.2658995,-110.9175968
I 80,41.26566945,-110.9162992
I 80,41.2654188,-110.9149347
I 80,41.26311625,-110.9026638
I 80,41.26290205,-110.9014677
I 80,41.26280465,-110.9008702
I 80,41.26271855,-110.9003072
I 80,41.2625916,-110.8993897
I 80,41.2624675,-110.8983518
I 80,41.26238795,-110.8975739
I 80,41.2622649,-110.8962688
I 80,41.26223965,-110.89596
I 80,41.2621943,-110.8951897
I 80,41.26215145,-110.894168
I 80,41.2621292,-110.89326
I 80,41.2621226,-110.8923622
I 80,41.2621286,-110.8914787
I 80,41.26215165,-110.8905499
I 80,41.2622001,-110.8894111
I 80,41.262259,-110.8884726
I 80,41.26233365,-110.8875308
I 80,41.26241915,-110.8866443
I 80,41.2625156,-110.885789
I 80,41.262668,-110.8846327
I 80,41.2628006,-110.8837487
I 80,41.26295655,-110.8828259
I 80,41.2631607,-110.881732
I 80,41.2633483,-110.8808282
I 80,41.2635448,-110.8799663
I 80,41.26374635,-110.8791408
I 80,41.26404895,-110.8779971
I 80,41.26428895,-110.8771621
I 80,41.2645436,-110.8763183
I 80,41.2647788,-110.8755902
I 80,41.26507905,-110.8747173
I 80,41.2653974,-110.8738408
I 80,41.26570815,-110.8730292
I 80,41.26604065,-110.8722112
I 80,41.2663382,-110.8715131
I 80,41.2667099,-110.870683
I 80,41.26694765,-110.8701715
I 80,41.2671525,-110.8697444
I 80,41.2675903,-110.8688717
I 80,41.26796105,-110.8681654
I 80,41.27033515,-110.8637235
I 80,41.2709862,-110.8624964
